# http://www.us.schott.com/advanced_optics/english/download/schott_optical_glass_catalogue_excel_december_2011.xls
#Name	B1	B2	B3	C1	C2	C3
F2	1.34533359E+00	2.09073176E-01	9.37357162E-01	9.97743871E-03	4.70450767E-02	1.11886764E+02
F2HT	1.34533359E+00	2.09073176E-01	9.37357162E-01	9.97743871E-03	4.70450767E-02	1.11886764E+02
F5	1.31044630E+00	1.96034260E-01	9.66129770E-01	9.58633048E-03	4.57627627E-02	1.15011883E+02
K10	1.15687082E+00	6.42625444E-02	8.72376139E-01	8.09424251E-03	3.86051284E-02	1.04747730E+02
K7	1.12735550E+00	1.24412303E-01	8.27100531E-01	7.20341707E-03	2.69835916E-02	1.00384588E+02
KZFS12	1.55624873E+00	2.39769276E-01	9.47887658E-01	1.02012744E-02	4.69277969E-02	6.98370722E+01
LAFN7	1.66842615E+00	2.98512803E-01	1.07743760E+00	1.03159999E-02	4.69216348E-02	8.25078509E+01
LF5	1.28035628E+00	1.63505973E-01	8.93930112E-01	9.29854416E-03	4.49135769E-02	1.10493685E+02
LLF1	1.21640125E+00	1.33664540E-01	8.83399468E-01	8.57807248E-03	4.20143003E-02	1.07593060E+02
N-BAF10	1.58514950E+00	1.43559385E-01	1.08521269E+00	9.26681282E-03	4.24489805E-02	1.05613573E+02
N-BAF4	1.42056328E+00	1.02721269E-01	1.14380976E+00	9.42015382E-03	5.31087291E-02	1.10278856E+02
N-BAF51	1.51503623E+00	1.53621958E-01	1.15427909E+00	9.42734715E-03	4.30826500E-02	1.24889868E+02
N-BAF52	1.43903433E+00	9.67046052E-02	1.09875818E+00	9.07800128E-03	5.08212080E-02	1.05691856E+02
N-BAK1	1.12365662E+00	3.09276848E-01	8.81511957E-01	6.44742752E-03	2.22284402E-02	1.07297751E+02
N-BAK2	1.01662154E+00	3.19903051E-01	9.37232995E-01	5.92383763E-03	2.03828415E-02	1.13118417E+02
