Wavelength(nm)	n	k
183.68	0.102	2.07
185.05	0.1044	2.085002
186.44	0.1062	2.103344
187.86	0.1076	2.124184
189.29	0.1088	2.146683
190.75	0.11	2.17
192.23	0.1113	2.193295
193.73	0.1129	2.215727
195.25	0.1148	2.237511
196.8	0.1168	2.258863
198.38	0.119	2.28
199.98	0.1213	2.301136
201.6	0.1236	2.322489
203.25	0.1258	2.344273
204.93	0.128	2.366705
206.64	0.13	2.39
208.38	0.1318	2.414375
210.14	0.134	2.44
211.94	0.1364	2.465625
213.77	0.139	2.49
215.63	0.1415	2.509375
217.52	0.144	2.53
219.44	0.1464	2.559375
221.4	0.149	2.59
223.4	0.1519	2.615
225.43	0.155	2.64
227.5	0.1585	2.669375
229.6	0.162	2.7
231.75	0.1649	2.73
233.93	0.168	2.76
236.16	0.1719	2.79
238.43	0.176	2.82
240.75	0.1796	2.85
243.11	0.183	2.88
245.52	0.1865	2.909375
247.97	0.19	2.94
250.48	0.1934	2.975
253.03	0.197	3.01
255.64	0.2009	3.039375
258.3	0.205	3.07
261.02	0.2089	3.109375
263.8	0.213	3.15
266.63	0.2179	3.185
269.53	0.223	3.22
272.49	0.2279	3.259375
275.52	0.233	3.3
278.62	0.2384	3.339375
281.78	0.244	3.38
285.02	0.2494	3.425
288.34	0.255	3.47
291.73	0.2609	3.51
295.2	0.267	3.55
298.76	0.2734	3.59375
302.4	0.28	3.64
306.14	0.2868	3.689375
309.96	0.294	3.74
313.89	0.3019	3.789375
317.91	0.31	3.84
322.04	0.3179	3.894375
326.28	0.326	3.95
330.63	0.3348	4.005
335.1	0.344	4.06
339.69	0.3538	4.11375
344.4	0.364	4.17
349.25	0.3744	4.23375
354.24	0.385	4.3
359.38	0.3958	4.365
364.66	0.407	4.43
370.11	0.4191	4.49375
375.71	0.432	4.56
381.49	0.4457	4.63375
387.45	0.46	4.71
393.6	0.4747	4.784375
399.95	0.49	4.86
406.51	0.5062	4.938125
413.28	0.523	5.02
420.29	0.5401	5.10875
427.54	0.558	5.2
435.04	0.5773	5.29
442.8	0.598	5.38
450.86	0.6203	5.48
459.2	0.644	5.58
467.87	0.6686	5.69
476.87	0.695	5.8
486.22	0.7238	5.915
495.94	0.755	6.03
506.06	0.789	6.15
516.6	0.826	6.28
527.6	0.867	6.42
539.07	0.912	6.55
551.05	0.963	6.7
563.57	1.02	6.85
576.68	1.08	7
590.41	1.15	7.15
604.81	1.22	7.31
619.93	1.3	7.48
635.82	1.39	7.65
652.55	1.49	7.82
670.19	1.6	8.01
688.81	1.74	8.21
708.49	1.91	8.39
729.32	2.14	8.57
751.43	2.41	8.62
774.91	2.63	8.6
799.9	2.8	8.45
826.57	2.74	8.31
855.07	2.58	8.21
885.61	2.24	8.21
918.41	1.86	8.44
953.73	1.47	8.95
991.88	1.37	9.49
1033.21	1.26	10
1078.13	1.21	10.6
1127.14	1.2	11.2
1180.81	1.21	11.8
1239.85	1.21	12.5
1305.11	1.23	13.2
1377.61	1.26	14
1458.65	1.33	14.9
1549.81	1.44	16
1653.14	1.59	17.1
1771.22	1.77	18.3
1907.46	1.99	19.8
2066.42	2.27	21.4
2254.28	2.62	23.3
2479.7	3.07	25.6
