Wavelength(nm)	n	k
180	1.3702	1.998
190	1.5348	1.8312
200	1.5358	1.6958
210	1.46	1.65
220	1.4328	1.8063
230	1.4426	2.084
240	1.3626	2.4535
250	1.365	2.8473
260	1.6273	3.1974
270	1.9519	3.4318
280	3.3553	3.5606
290	3.8349	3.5347
300	4.7316	3.2803
310	5.2353	2.7344
320	5.3913	2.0759
330	5.2911	1.5698
340	4.9687	1.0926
350	4.4773	0.6508
360	3.87	0.251
370	3.6613	0.033
380	3.4984	0
390	3.3753	0
400	3.2861	0
410	3.2248	0
420	3.1856	0
430	3.1624	0
440	3.1494	0
450	3.1405	0
460	3.13	0
470	3.1041	0
480	3.08	0
490	3.0538	0
500	3.03	0
510	3.0138	0
520	3	0
530	2.985	0
540	2.97	0
550	2.9544	0
560	2.94	0
570	2.9294	0
580	2.92	0
590	2.91	0
600	2.9	0
610	2.8894	0
620	2.88	0
630	2.875	0
640	2.87	0
650	2.86	0
660	2.85	0
670	2.8444	0
680	2.84	0
690	2.835	0
700	2.83	0
710	2.825	0
720	2.82	0
730	2.8144	0
740	2.81	0
750	2.81	0
760	2.81	0
770	2.8056	0
780	2.8	0
790	2.7944	0
800	2.79	0
810	2.79	0
820	2.79	0
830	2.785	0
840	2.78	0
850	2.78	0
860	2.78	0
870	2.775	0
880	2.77	0
890	2.77	0
900	2.77	0
910	2.765	0
920	2.76	0
930	2.7594	0
940	2.76	0
950	2.7606	0
960	2.76	0
970	2.755	0
980	2.75	0
990	2.749	0
1000	2.75	0
1010	2.7498	0
1020	2.7494	0
1030	2.7488	0
1040	2.7482	0
1050	2.7474	0
1060	2.7465	0
1070	2.7456	0
1080	2.7445	0
1090	2.7435	0
1100	2.7423	0
1110	2.7412	0
1120	2.74	0
1130	2.739	0
1140	2.738	0
1150	2.737	0
1160	2.736	0
1170	2.7349	0
1180	2.7339	0
1190	2.7329	0
1200	2.7319	0
1210	2.731	0
1220	2.73	0
1230	2.7293	0
1240	2.7287	0
1250	2.7281	0
1260	2.7275	0
1270	2.727	0
1280	2.7265	0
1290	2.726	0
1300	2.7255	0
1310	2.725	0
1320	2.7245	0
1330	2.724	0
1340	2.7235	0
1350	2.723	0
1360	2.7225	0
1370	2.7219	0
1380	2.7213	0
1390	2.7207	0
1400	2.72	0
1410	2.7193	0
1420	2.7185	0
1430	2.7177	0
1440	2.7168	0
1450	2.7159	0
1460	2.7149	0
1470	2.7138	0
1480	2.7126	0
1490	2.7113	0
1500	2.71	0
